"participant","contact","period","estcon"
4,4,"1. Lockdown 1",0.300609065
14,4,"1. Lockdown 1",0.280375497
24,4,"1. Lockdown 1",0.090067573
34,4,"1. Lockdown 1",0.349585147
44,4,"1. Lockdown 1",0.525316287
54,4,"1. Lockdown 1",0.272197581
64,4,"1. Lockdown 1",0.068793313
80,4,"1. Lockdown 1",0.061911203
4,14,"1. Lockdown 1",0.191177345
14,14,"1. Lockdown 1",0.636905941
24,14,"1. Lockdown 1",0.318110793
34,14,"1. Lockdown 1",0.1824870765
44,14,"1. Lockdown 1",0.317873006
54,14,"1. Lockdown 1",0.452128753
64,14,"1. Lockdown 1",0.303050364
80,14,"1. Lockdown 1",0.1072409935
4,24,"1. Lockdown 1",0.894871845
14,24,"1. Lockdown 1",0.729846208
24,24,"1. Lockdown 1",0.434084071
34,24,"1. Lockdown 1",0.658639296
44,24,"1. Lockdown 1",0.490194794
54,24,"1. Lockdown 1",0.303002157
64,24,"1. Lockdown 1",0.462527009
80,24,"1. Lockdown 1",0.23553788
4,34,"1. Lockdown 1",1.244194149
14,34,"1. Lockdown 1",1.115572175
24,34,"1. Lockdown 1",0.409345016
34,34,"1. Lockdown 1",0.45355307
44,34,"1. Lockdown 1",0.659057328
54,34,"1. Lockdown 1",0.419564587
64,34,"1. Lockdown 1",0.310762941
80,34,"1. Lockdown 1",0.2424278
4,44,"1. Lockdown 1",0.596779788
14,44,"1. Lockdown 1",1.532889015
24,44,"1. Lockdown 1",0.845275024
34,44,"1. Lockdown 1",0.259518124
44,44,"1. Lockdown 1",0.388384045
54,44,"1. Lockdown 1",0.524663969
64,44,"1. Lockdown 1",0.419968914
80,44,"1. Lockdown 1",0.190510073
4,54,"1. Lockdown 1",0.160803836
14,54,"1. Lockdown 1",1.145606346
24,54,"1. Lockdown 1",0.843949965
34,54,"1. Lockdown 1",0.422356719
44,54,"1. Lockdown 1",0.306698827
54,54,"1. Lockdown 1",0.447751946
64,54,"1. Lockdown 1",0.595382121
80,54,"1. Lockdown 1",0.370017362
4,64,"1. Lockdown 1",0.114953314
14,64,"1. Lockdown 1",0.320647159
24,64,"1. Lockdown 1",0.230661532
34,64,"1. Lockdown 1",0.170846128
44,64,"1. Lockdown 1",0.190049785
54,64,"1. Lockdown 1",0.161339368
64,64,"1. Lockdown 1",0.293916639
80,64,"1. Lockdown 1",0.581674928
4,80,"1. Lockdown 1",0.082135339
14,80,"1. Lockdown 1",0.104847573
24,80,"1. Lockdown 1",0.058991386
34,80,"1. Lockdown 1",0.081503731
44,80,"1. Lockdown 1",0.189454136
54,80,"1. Lockdown 1",0.166500122
64,80,"1. Lockdown 1",0.217126946
80,80,"1. Lockdown 1",0.275455829
4,4,"2. Lockdown 1 easing",0.430635062
14,4,"2. Lockdown 1 easing",0.454914965
24,4,"2. Lockdown 1 easing",0.138516342
34,4,"2. Lockdown 1 easing",0.326112963
44,4,"2. Lockdown 1 easing",0.545570687
54,4,"2. Lockdown 1 easing",0.256091931
64,4,"2. Lockdown 1 easing",0.106823715
80,4,"2. Lockdown 1 easing",0.083443421
4,14,"2. Lockdown 1 easing",0.3113542075
14,14,"2. Lockdown 1 easing",1.0752314895
24,14,"2. Lockdown 1 easing",0.4950212945
34,14,"2. Lockdown 1 easing",0.2070438715
44,14,"2. Lockdown 1 easing",0.3486344245
54,14,"2. Lockdown 1 easing",0.4670313055
64,14,"2. Lockdown 1 easing",0.317696096
80,14,"2. Lockdown 1 easing",0.1337874115
4,24,"2. Lockdown 1 easing",0.834787493
14,24,"2. Lockdown 1 easing",0.828431601
24,24,"2. Lockdown 1 easing",0.494275892
34,24,"2. Lockdown 1 easing",0.727757822
44,24,"2. Lockdown 1 easing",0.7066913
54,24,"2. Lockdown 1 easing",0.487851305
64,24,"2. Lockdown 1 easing",0.522056734
80,24,"2. Lockdown 1 easing",0.328824449
4,34,"2. Lockdown 1 easing",1.292166022
14,34,"2. Lockdown 1 easing",1.230045077
24,34,"2. Lockdown 1 easing",0.480111276
34,34,"2. Lockdown 1 easing",0.653866612
44,34,"2. Lockdown 1 easing",0.92353755
54,34,"2. Lockdown 1 easing",0.669684642
64,34,"2. Lockdown 1 easing",0.490044154
80,34,"2. Lockdown 1 easing",0.458928932
4,44,"2. Lockdown 1 easing",0.561468944
14,44,"2. Lockdown 1 easing",1.567531807
24,44,"2. Lockdown 1 easing",0.797202005
34,44,"2. Lockdown 1 easing",0.417839452
44,44,"2. Lockdown 1 easing",0.61991607
54,44,"2. Lockdown 1 easing",0.64214909
64,44,"2. Lockdown 1 easing",0.47394878
80,44,"2. Lockdown 1 easing",0.327422948
4,54,"2. Lockdown 1 easing",0.249699608
14,54,"2. Lockdown 1 easing",1.194217558
24,54,"2. Lockdown 1 easing",0.852448682
34,54,"2. Lockdown 1 easing",0.476716311
44,54,"2. Lockdown 1 easing",0.483635426
54,54,"2. Lockdown 1 easing",0.50530285
64,54,"2. Lockdown 1 easing",0.54978404
80,54,"2. Lockdown 1 easing",0.420415732
4,64,"2. Lockdown 1 easing",0.15493315
14,64,"2. Lockdown 1 easing",0.392253066
24,64,"2. Lockdown 1 easing",0.250625459
34,64,"2. Lockdown 1 easing",0.238511037
44,64,"2. Lockdown 1 easing",0.359774518
54,64,"2. Lockdown 1 easing",0.277288285
64,64,"2. Lockdown 1 easing",0.333949678
80,64,"2. Lockdown 1 easing",0.549528937
4,80,"2. Lockdown 1 easing",0.126812955
14,80,"2. Lockdown 1 easing",0.211216046
24,80,"2. Lockdown 1 easing",0.146772711
34,80,"2. Lockdown 1 easing",0.214110215
44,80,"2. Lockdown 1 easing",0.407699875
54,80,"2. Lockdown 1 easing",0.387637834
64,80,"2. Lockdown 1 easing",0.2939266
80,80,"2. Lockdown 1 easing",0.37887602
4,4,"3. Relaxed restrictions",0.801021534
14,4,"3. Relaxed restrictions",0.687147396
24,4,"3. Relaxed restrictions",0.211237184
34,4,"3. Relaxed restrictions",0.37650662
44,4,"3. Relaxed restrictions",0.616173822
54,4,"3. Relaxed restrictions",0.39550823
64,4,"3. Relaxed restrictions",0.158047389
80,4,"3. Relaxed restrictions",0.165992884
4,14,"3. Relaxed restrictions",0.469992271
14,14,"3. Relaxed restrictions",1.1587138715
24,14,"3. Relaxed restrictions",0.566210211
34,14,"3. Relaxed restrictions",0.290239283
44,14,"3. Relaxed restrictions",0.4002024515
54,14,"3. Relaxed restrictions",0.580284725
64,14,"3. Relaxed restrictions",0.328938292
80,14,"3. Relaxed restrictions",0.155266755
4,24,"3. Relaxed restrictions",0.963785723
14,24,"3. Relaxed restrictions",1.173179944
24,24,"3. Relaxed restrictions",0.749608726
34,24,"3. Relaxed restrictions",1.513729218
44,24,"3. Relaxed restrictions",1.040968337
54,24,"3. Relaxed restrictions",0.865868372
64,24,"3. Relaxed restrictions",0.925650251
80,24,"3. Relaxed restrictions",0.678535854
4,34,"3. Relaxed restrictions",1.459387197
14,34,"3. Relaxed restrictions",1.413221933
24,34,"3. Relaxed restrictions",0.557033812
34,34,"3. Relaxed restrictions",0.96315667
44,34,"3. Relaxed restrictions",1.140122054
54,34,"3. Relaxed restrictions",0.862634723
64,34,"3. Relaxed restrictions",0.673770879
